(q, m) = (3, 2) : OK
(q, m) = (3, 3) : OK
(q, m) = (3, 4) : OK
(q, m) = (3, 5) : OK
(q, m) = (3, 6) : OK
(q, m) = (3, 7) : OK
(q, m) = (3, 8) : OK
(q, m) = (3, 9) : OK
(q, m) = (4, 2) : OK
(q, m) = (4, 3) : OK
(q, m) = (4, 4) : OK
(q, m) = (4, 5) : OK
(q, m) = (4, 6) : OK
(q, m) = (4, 7) : OK
(q, m) = (5, 2) : OK
(q, m) = (5, 3) : OK
(q, m) = (5, 4) : OK
(q, m) = (5, 5) : OK
(q, m) = (5, 6) : OK
(q, m) = (7, 2) : OK
(q, m) = (7, 3) : OK
(q, m) = (7, 4) : OK
(q, m) = (7, 5) : OK
(q, m) = (8, 2) : OK
(q, m) = (8, 3) : OK
(q, m) = (8, 4) : OK
(q, m) = (9, 2) : OK
(q, m) = (9, 3) : OK
(q, m) = (9, 4) : OK
(q, m) = (11, 2) : OK
(q, m) = (11, 3) : OK
(q, m) = (11, 4) : OK
(q, m) = (13, 2) : OK
(q, m) = (13, 3) : OK
(q, m) = (13, 4) : OK
(q, m) = (16, 2) : OK
(q, m) = (16, 3) : OK
(q, m) = (17, 2) : OK
(q, m) = (17, 3) : OK
(q, m) = (19, 2) : OK
(q, m) = (19, 3) : OK
